Record,TP,TN,FP,FN,Accuracy,AbnormalRecall,Specificity
100,34,2236,0,0,1,1,1
101,2,1855,3,1,0.99785061794734,0.666666666666667,0.998385360602799
106,520,1504,2,0,0.999012833168806,1,0.99867197875166
109,2530,0,0,0,1,1,NaN
119,444,1542,0,0,1,1,1
200,857,1677,65,0,0.974990380915737,1,0.962686567164179
207,1753,0,0,0,1,1,NaN
208,1363,1527,58,0,0.980325644504749,1,0.963406940063091
213,607,2575,64,0,0.980283425754775,1,0.975748389541493
221,396,2026,4,0,0.998351195383347,1,0.998029556650246
233,848,2146,82,0,0.97334200260078,1,0.963195691202873
